Name,Rechtsform,Land,PLZ,Ort,Straße,HR Amtsgericht,Register-ID,Status,North Data URL,Tel.,Fax,E-Mail,Website,USt.-Id.,Eintragung,Eintragung Datum,Branche (WZ),Ges. Vertreter 1,Ges. Vertreter 2,Ges. Vertreter 3,Gegenstand,Tickers,Finanzkennzahlen Datum,Stamm-/Grundkapital EUR,Bilanzsumme EUR,Gewinn EUR,Gewinn CAGR %,Umsatz EUR,Umsatz CAGR %,Umsatzrendite %,Eigenkapital EUR,EK-Quote %,EK-Rendite %,Mitarbeiterzahl,Umsatz pro Mitarbeiter EUR,Steuern EUR,Steuer-Quote %,Kassenbestand EUR,Forderungen EUR,Verbindlichkeiten EUR,Materialaufwand EUR,Personalaufwand EUR,Personalaufwand pro Mitarbeiter EUR,Pensionsrückstellungen EUR,Immobilien und Grundstücke EUR,Mktg&Tech Bezugszeitraum,Anzahl Förderungen pro Jahr,Gesamtfördersumme pro Jahr EUR,Patente pro Jahr,Marken pro Jahr
León e. K.,e. K.,DE,47053.0,Duisburg,Grunewaldstr. 79 - 83,Duisburg,HRA 11942,erloschen,"https://www.northdata.de/Le%C3%B3n%20e%C2%B7%20K%C2%B7,%20Duisburg/HRA%2011942",,,,,,Eintragung,16.02.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","León Portas, Orlando",,,Der An- und Verkauf und die Verwaltung von Immobilien sowie sonstigen eigenen Vermögens.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 juillet invest UG,UG,DE,12347.0,Berlin,Bürgerstr. 82,Charlottenburg (Berlin),HRB 174443 B,erloschen,"https://www.northdata.de/14%20juillet%20invest%20UG,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20174443%20B",,,,,,Eintragung,18.02.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Ghennai, Ahmed",,,"Die Verwaltung eigenen Vermögens, Investitionen aller Art in Immobilien und Unternehmen im In- und Ausland, Erwerb des Gesamtkapitals und deren Verschmelzung, sowie alle damit zusammenhängenden Geschäfte im eigenen Namen, auf eigene Rechnung und nicht als Dienstleistung für Dritte. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art erwerben, vertreten oder sich an solchen Unternehmen beteiligen, und zwar auch als persönlich haftende Gesellschafterin.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
von Kontz Immobilienvermittlungs UG,UG,DE,85716.0,Unterschleißheim,Pegasusstr. 16,München,HRB 223936,erloschen,"https://www.northdata.de/von%20Kontz%20Immobilienvermittlungs%20UG,%20Unterschlei%C3%9Fheim/Amtsgericht%20M%C3%BCnchen%20HRB%20223936",,,,,,Eintragung,19.02.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","von Kontz, Frank",,,Vermittlung von Verträgen über den Verkauf und Vermietung von Immobilien.,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg Wunschhaus e. K.,e. K.,DE,26209.0,Hatten,Grenzweg 61,Oldenburg,HRA 204878,erloschen,"https://www.northdata.de/Berg%20Wunschhaus%20e%C2%B7%20K%C2%B7,%20Hatten/Amtsgericht%20Oldenburg%20HRA%20204878",,,,,,Eintragung,02.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Berg, Christoph",,,"Gegenstand des Geschäfts ist: die Vermittlung zum Abschluss von Verträgen oder den Nachweis der Gelegenheit zum Abschluss solcher Verträge über Grundstücke, grundstücksgleiche Rechte, Wohnräume, gewerbliche Räume sowie Darlehen und die Vorbereitung und Durchführung von Bauvorhaben als Bauherr in eigenem Namen für eigene bzw. fremde Rechnung, die Verwendung von Vermögenswerten von Erwerbern, Mietern, Pächtern, sonstigen Nutzungsberechtigten oder von Bewerbern um Erwerbs- und Nutzungsrechte, die ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projektmanagement Harand UG,UG,DE,73230.0,Kirchheim u. Teck,Dettinger Str. 15,Stuttgart,HRB 756036,aktiv,"https://www.northdata.de/Projektmanagement%20Harand%20UG,%20Kirchheim%20u%C2%B7%20Teck/Amtsgericht%20Stuttgart%20HRB%20756036",,,,,,Eintragung,07.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Harand, Hans-Joerg",,,Vermittlung und Betreuung von Bauverträgen als freier Handelsvertreter,,31.12.2017,500.0,"6.419,46",,,4.000,"122,22",,"-5.478,17","-85,34",,,,,,,,"11.897,63",,,,,,31.12.2017,,,,
OL Immobilienservice Nordoberpfalz UG,UG,DE,92637.0,Weiden i. d. Oberpfalz,Uhlandstr. 7 a,Weiden i. d. OPf,HRB 4693,aktiv,"https://www.northdata.de/OL%20Immobilienservice%20Nordoberpfalz%20UG,%20Weiden%20i%C2%B7%20d%C2%B7%20Oberpfalz/Amtsgericht%20Weiden%20i.%20d.%20OPf%20HRB%204693",,,,,,Eintragung,07.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Ludwig, Oliver",,,"1. Der Erwerb oder die Übernahme von gewerblichen und wohnungswirtschaftlichen Liegenschaften mit oder ohne des gesetzlichen Zubehörs, Ausstattungen sowie technischen Ausrüstungen zur Weiterveräußerung oder zur Verwertung in anderer Weise, auftragsweise oder/und für eigene Rechnung. 2. Die Verwaltung von Immobilien jeder Art für fremde Rechnung. 3. Die Beratung und Vermittlung in Kapital- und Vermögensanlagen sowie der damit verbundenen Besorgungen. 4. Die Vermittlung: a) des Kaufs oder Verkaufs von Grundstücken jeder Nutzungsart, von Industrie-, Gewerbe- und Wohngebäuden, sowie von grundstücksgleichen Rechten; b) von Vermietungen, Verpachtungen und anderer Arten der Nutzungsüberlassung gewerblicher Räume und Wohnräume. 5. Die Vermittlung von Darlehen und anderer Finanzierungshilfen zur Förderung von Immobiliengeschäften. 6. Der Erwerb, das Halten und die Veräußerung von Beteiligungen an anderen Unternehmen. 7. Die Vorbereitung und/oder Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene oder fremde Rechnung sowie als Baubetreuer im fremden Namen für fremde Rechnung. 8. Die Vermittlung von Versicherungen. 9. Erstellen von Verkehrswertgutachten von Immobilien, Marktpreisschätzungen.",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BeSmart Immobilien e. K.,e. K.,DE,21521.0,Aumühle,Große Str. 28,Lübeck,HRA 8341 HL,aktiv,"https://www.northdata.de/BeSmart%20Immobilien%20e%C2%B7%20K%C2%B7,%20Aum%C3%BChle/Amtsgericht%20L%C3%BCbeck%20HRA%208341%20HL",+49 4104699689,+49 41049170166,s.treder@besmart-immobilien.de,https://www.besmart-immobilien.de,DE305363327,Eintragung,08.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Treder, Silke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concilia Immobilien e. K.,e. K.,DE,18311.0,Ribnitz-Damgarten,Grüne Str. 1,Stralsund,HRA 20119,aktiv,"https://www.northdata.de/Concilia%20Immobilien%20e%C2%B7%20K%C2%B7,%20Ribnitz-Damgarten/Amtsgericht%20Stralsund%20HRA%2020119",+49 3821894411,+49 3821894412,frost@concilia.de,,,Eintragung,17.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Frost, Lisa",,,Nur Abschlussmöglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blume Immobilien e. K.,e. K.,DE,44575.0,Castrop-Rauxel,Bahnhofstr. 69,Dortmund,HRA 18226,aktiv,"https://www.northdata.de/Blume%20Immobilien%20e%C2%B7%20K%C2%B7,%20Castrop-Rauxel/Amtsgericht%20Dortmund%20HRA%2018226",+49 23053095566,+49 23053095567,info@blume-immobilien.de,https://www.blume-immobilien.de,,Eintragung,18.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Blume, Jens Peter",,,Vermittlung von Kauf- und Mietverträgen über Immobilien sowie alle damit zusammenhängenden Tätigkeiten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wegelnburg Immobilien e. K.,e. K.,DE,66996.0,Schönau (Pfalz),Bergstr. 1,Zweibrücken,HRA 30512,erloschen,"https://www.northdata.de/Wegelnburg%20Immobilien%20e%C2%B7%20K%C2%B7,%20Sch%C3%B6nau%20(Pfalz)/Amtsgericht%20Zweibr%C3%BCcken%20HRA%2030512",,,,,,Eintragung,08.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Metzke, Frank",,,Nachweisen und Vermitteln von Immobilienkaufverträgen (Maklertätigkeit).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roeschke Immobilien Inh. Joachim Noack e. K.,e. K.,DE,23669.0,Timmendorfer Strand,Brodtener Str. 9,Lübeck,HRA 8347 HL,erloschen,"https://www.northdata.de/Roeschke%20Immobilien%20Inh%C2%B7%20Joachim%20Noack%20e%C2%B7%20K%C2%B7,%20Timmendorfer%20Strand/Amtsgericht%20L%C3%BCbeck%20HRA%208347%20HL",,,,,,Eintragung,10.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Noack, Joachim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS Immobilien UG,UG,DE,4523.0,Pegau,Pegauer Str. 24 A,Potsdam,HRB 28781,erloschen,"https://www.northdata.de/ICS%20Immobilien%20UG,%20Pegau/Amtsgericht%20Potsdam%20HRB%2028781",,,,,,Eintragung,15.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Lutschin, Jörg-Ulrich",,,"Die Immobilienverwaltung, Vermittlung von Geschäftskontakten in der Immobilienwirtschaft, der Entwurf von Konstruktionsplänen für Bauten sowie der Vertrieb von Baustoffen - und Baufertigteilen für Immobilien.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB Baubetriebe UG,UG,DE,67547.0,Worms,Hagenstr. 8,Mainz,HRB 46682,erloschen,"https://www.northdata.de/SAB%20Baubetriebe%20UG,%20Worms/Amtsgericht%20Mainz%20HRB%2046682",,,,,,Eintragung,15.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Örüc, Hamit",,,"Der Abschluss und die Vermittlung von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume, die Vermittlung des Abschlusses von Darlehensverträgen, Bauvorhaben als Bauherr im eigenen Namen und für eigene oder fremde Rechnung vorzubereiten und durchzuführen und dazu Vermögenswerte von Erwerbern, Mietern, Pächtern oder sonstigen Nutzungsberechtigten oder von Bewerbern um Erwerbs- oder Nutzungsrechte zu verwenden, Bauvorhaben als Baubetreuer in fremden Namen und ?",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WL Immobilien UG,UG,DE,66386.0,St. Ingbert,Hauptstr. 7 e,Saarbrücken,HRB 103055,erloschen,"https://www.northdata.de/WL%20Immobilien%20UG,%20St%C2%B7%20Ingbert/Amtsgericht%20Saarbr%C3%BCcken%20HRB%20103055",,,,,,Eintragung,17.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Leusch, Wilhelm Erich",,,Die Vermittlung von Wohn- und Gewerbeimmobilien sowie die Vermittlung von Kaufverträgen für Allkauf-Haus.,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Realutions UG,UG,DE,37318.0,Lutter,Am Wasser 10,Jena,HRB 512130,aktiv,"https://www.northdata.de/Realutions%20UG,%20Lutter/Amtsgericht%20Jena%20HRB%20512130",,,,,,Eintragung,21.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Müller, Christina",,,"ist die Beratung mit Schwerpunkt Immobilienberatung, mit Ausnahme der Rechts- und Steuerberatung, sowie Immobilien-, Maschinen- und Anlagenbewertung.",,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
HVKV UG,UG,DE,68161.0,Mannheim,"U 3, 16",Mannheim,HRB 724481,aktiv,"https://www.northdata.de/HVKV%20UG,%20Mannheim/HRB%20724481",,,,,,Eintragung,22.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Yigit, Bayram",,,"Der An- und Verkauf von Immobilien und Kraftfahrzeugen, die Verwaltung und Vermittlung von Immobilien, die Vermittlung von Darlehen und Versicherungen sowie die Vermittlung von Mobilfunkverträgen und der Verkauf von Mobilfunkgeräten.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hambusch Hausverwaltungen e. K., Inh. Sarah-Saskia Stern",e. K.,DE,32105.0,Bad Salzuflen,Brüderstr. 22,Lemgo,HRA 5577,aktiv,"https://www.northdata.de/Hambusch%20Hausverwaltungen%20e%C2%B7%20K%C2%B7,%20Inh%C2%B7%20Sarah-Saskia%20Stern,%20Bad%20Salzuflen/Amtsgericht%20Lemgo%20HRA%205577",+49 5222600525,+49 5222600528,kontakt@hambusch-immobilien.de,https://hambusch-immobilien.de,DE306611402,Eintragung,30.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Stern, Sarah-Saskia",,,"Gegenstand des Unternehmens ist die Vermittlung von Immobilien, der An- und Verkauf von Grundstücken, die Vermittlung von Vermietungen aller Art sowie Hausverwaltungen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysuperhome UG,UG,DE,91074.0,Herzogenaurach,Lenzenbergstr. 27,Fürth,HRB 15539,aktiv,"https://www.northdata.de/mysuperhome%20UG,%20Herzogenaurach/Amtsgericht%20F%C3%BCrth%20HRB%2015539",,,,https://www.mysuperhome.com,,Eintragung,30.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Petersen, Adam",,,"die Erstellung, die Vermittlung und der Verkauf von Gebäudeplanungen und Immobilien.",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kowalski Immobilien Leipzig e. K.,e. K.,DE,4109.0,Leipzig,Max-Beckmann-Str. 22,Leipzig,HRA 17580,aktiv,"https://www.northdata.de/Kowalski%20Immobilien%20Leipzig%20e%C2%B7%20K%C2%B7,%20Leipzig/HRA%2017580",+49 34156127711,+49 34156127722,info@kowalski-leipzig.de,,,Eintragung,01.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Koschinsky, Gunar",,,"Vermietung und Verkauf von Immobilien, Hausverwaltung und Reinigung nach Hausfrauenart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans-Jürgen NEHRIG UG,UG,DE,32547.0,Bad Oeynhausen,Vlothoer Str. 119,Bad Oeynhausen,HRB 14959,erloschen,"https://www.northdata.de/Hans-J%C3%BCrgen%20NEHRIG%20UG,%20Bad%20Oeynhausen/HRB%2014959",,,,,,Eintragung,21.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Nehrig, Hans-Jürgen",,,"Tätigkeit als Makler und Baubetreuer gem. § 34c (1) Nummer 1-3 GewO, ferner die Ausführung von Handwerksleistungen im Bereich Heizungs-, Lüftungs-, Gas- und Wasser- sowie Sanitärtechnik einschließlich der Handel mit entsprechenden Materialien im In- und Ausland, die Durchführung von Innenausbaumaßnahmen sowie der Betrieb eines Imbisses und eines Cafés.",,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OSKAR Immobilien e. K.,e. K.,DE,45145.0,Essen,Münchener Str. 63,Essen,HRA 10507,erloschen,"https://www.northdata.de/OSKAR%20Immobilien%20e%C2%B7%20K%C2%B7,%20Essen/HRA%2010507",,,,,,Eintragung,22.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Plonka, Oskar Patryk",,,Vermittlung von Immobilien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immo-Solution-Consulting UG,UG,DE,35510.0,Butzbach,Weiseler Str. 36,Friedberg,HRB 8296,erloschen,"https://www.northdata.de/Immo-Solution-Consulting%20UG,%20Butzbach/Amtsgericht%20Friedberg%20HRB%208296",,,,,,Eintragung,23.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Akyüz, Halil",,,Gegenstand des Unternehmens ist das Vermitteln von Immobilien und Maklertätigkeiten.,,31.12.2017,500.0,"4.077,8",,,2.800,"803,23",,0,0,,,,,,,,"4.077,8",,,,,,31.12.2017,,,,
"Kremer Concept e. K., Inh. Marko Kremer",e. K.,DE,24937.0,Flensburg,Munketoft 88,Flensburg,HRA 8869 FL,erloschen,"https://www.northdata.de/Kremer%20Concept%20e%C2%B7%20K%C2%B7,%20Inh%C2%B7%20Marko%20Kremer,%20Flensburg/HRA%208869%20FL",,,,,,Eintragung,30.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kremer, Marko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agentur Hans-Jürgen de Fries UG,UG,DE,34212.0,Melsungen,Brüggersberg 11,Fritzlar,HRB 12608,erloschen,"https://www.northdata.de/Agentur%20Hans-J%C3%BCrgen%20de%20Fries%20UG,%20Melsungen/Amtsgericht%20Fritzlar%20HRB%2012608",,,,,,Eintragung,31.03.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","de Fries, Hans-Jürgen",,,"Gegenstand des Unternehmens ist die Beratung und Betreuung von Unternehmen im Bereich Immobilien und Expansion, Begründung und Abwicklung von Standorten und Mietverhältnissen und alle damit im Zusammenhang und/oder den Gesellschaftszweck fördernden Tätigkeiten.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXAREAL - Ihre Immobiliengutachter OHG,OHG,DE,79115.0,Freiburg i. Breisgau,Bettackerstr. 14,Freiburg,HRA 704575,aktiv,"https://www.northdata.de/TAXAREAL%20-%20Ihre%20Immobiliengutachter%20OHG,%20Freiburg%20i%C2%B7%20Breisgau/Amtsgericht%20Freiburg%20HRA%20704575",+49 76147977706,+49 76147977708,zentrale@taxareal.de,https://www.taxareal.de,DE308410592,Eintragung,06.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hartmann, Johannes","Pietruska, Erik",,"Die Vermittlung von Immobilien und die Erstellung von Gutachten im Immobilienbereich, insbesondere von Wertgutachten, sowie die Erbringung weiterer Consulting-Dienstleistungen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.V.S. Jankovic Privater Vermittlungsservice e. K.,e. K.,DE,81673.0,München,Englmannstr. 1,München,HRA 105276,aktiv,"https://www.northdata.de/P%C2%B7V%C2%B7S%C2%B7%20Jankovic%20Privater%20Vermittlungsservice%20e%C2%B7%20K%C2%B7,%20M%C3%BCnchen/HRA%20105276",,,,,,Eintragung,11.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Jankovic, Radosav",,,"Dolmetscher- und Übersetzungstätigkeiten und Betreuung von Kunden und deren Unterstützung bei unterschiedlichsten Angelegenheiten. Rechtsberatung, Tätigkeiten nach § 34c GewO sowie sonstige erlaubnispflichtige Tätigkeiten sind ausgeschlossen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicon UG,UG,DE,80538.0,München,Liebherrstr. 1,München,HRB 224985,aktiv,"https://www.northdata.de/Bicon%20UG,%20M%C3%BCnchen/HRB%20224985",,,,,,Eintragung,12.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Bögel, Julia",,,"Erbringung von Beratungsdienstleistungen, insbesondere Unternehmensberatung, Erbringung von Immobiliendienstleistungen, insbesondere Verwaltung von Immobilien sowie Übernahme der Stellung einer persönlich haftenden Gesellschafterin und Geschäftsführung bei Kommanditgesellschaften sowie alle damit im Zusammenhang stehenden Tätigkeiten.",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Konzept UG,UG,DE,4838.0,Laußig,Dorfstr. 53,Leipzig,HRB 32419,aktiv,"https://www.northdata.de/Konzept%20UG,%20Lau%C3%9Fig/Amtsgericht%20Leipzig%20HRB%2032419",,,,,,Eintragung,15.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kacaran, Murat",,,Bauberatungsservice,,31.12.2019,10.0,"10.341,88",,,6.000,"5,57",,"6.789,22","65,65",,,,,,,,"3.552,66",,,,,,31.12.2019,,,,
H & H Beteiligungs UG,UG,DE,82166.0,Gräfelfing,Bahnhofstr. 88,München,HRB 225137,in Liquidation,"https://www.northdata.de/H%20&%20H%20Beteiligungs%20UG,%20Gr%C3%A4felfing/Amtsgericht%20M%C3%BCnchen%20HRB%20225137",,,,,,Eintragung,18.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hadeed, Sascha Siad",,,Ankauf von Immobilien und Grundstücken.,,31.12.2021,1.0,"2.897,75",,,2.100,"22,58",,"182,57","6,30",,,,,,,,"2.465,18",,,,,,31.12.2021,,,,
Severinstraße 40 Gaststättenbetrieb UG,UG,DE,50678.0,Köln,Severinstr. 40,Köln,HRB 87251,erloschen,"https://www.northdata.de/Severinstra%C3%9Fe%2040%20Gastst%C3%A4ttenbetrieb%20UG,%20K%C3%B6ln/HRB%2087251",,,,,,Eintragung,05.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,"Der Betrieb von Gastronomieobjekten, insbesondere auch eines Gastronomieobjektes in der Severinstraße 40, Köln.",,31.12.2017,1.0,"47.099,13","-2.379,01",,180.000,"5,88","-1,32","-45.890,01","-97,43",,,,,,0,"1.209,12","47.099,13",,,,,,31.12.2017,,,,
DüRa Hausverwaltung OHG,OHG,DE,37688.0,Beverungen,Mittelstr. 8,Paderborn,HRA 7009,erloschen,"https://www.northdata.de/D%C3%BCRa%20Hausverwaltung%20OHG,%20Beverungen/Amtsgericht%20Paderborn%20HRA%207009",,,,,,Eintragung,11.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Düringer, Anett","Radke, Michael",,Gegenstand des Unternehmens ist die Verwaltung von Immobilien.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReNice UG,UG,DE,9337.0,Hohenstein-Ernstthal,Wind 27,Chemnitz,HRB 30248,erloschen,"https://www.northdata.de/ReNice%20UG,%20Hohenstein-Ernstthal/Amtsgericht%20Chemnitz%20HRB%2030248",,,,,,Eintragung,12.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Stein, Andreas",,,Verwaltung eigenen Vermögens; Vermietung von Wohnungen,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IKAS UG,UG,DE,35584.0,Wetzlar,Wilhelmstr. 48,Wetzlar,HRB 7053,erloschen,"https://www.northdata.de/IKAS%20UG,%20Wetzlar/HRB%207053",,,,,,Eintragung,25.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Stumphauzer, Attila",,,"Vermietung, Verwaltung und Verpachtung von Immobilien, Kfz-Service und Handel sowie Projektmanagement.",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebensraum Immobilien UG,UG,DE,25474.0,Bönningstedt,Ostermoorweg 53 g,Pinneberg,HRB 12497 PI,erloschen,"https://www.northdata.de/Lebensraum%20Immobilien%20UG,%20B%C3%B6nningstedt/Amtsgericht%20Pinneberg%20HRB%2012497%20PI",,,,,,Eintragung,26.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Dornheim, Julia",,,"Vermittlung des Abschlusses oder Nachweis der Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, Wohnräume und gewerbliche Räume.",,31.12.2019,1.0,"2.762,76","-738,91",,33.000,"226,28","-2,24","-2.693,06","-97,48",,,,,,0,"69,7","1.906,26",,,,,,31.12.2019,,,,
Steinacher Immobilien e. K.,e. K.,DE,73728.0,Esslingen a. Neckar,Webergasse 1,Stuttgart,HRA 732126,aktiv,"https://www.northdata.de/Steinacher%20Immobilien%20e%C2%B7%20K%C2%B7,%20Esslingen%20a%C2%B7%20Neckar/Amtsgericht%20Stuttgart%20HRA%20732126",+49 71156611832,,info@steinacher-immobilien.de,https://www.steinacher-immobilien.de,DE273988289,Eintragung,28.04.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Steinacher, Fabian",,,"Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, Vermittlung gewerblicher Räume oder Wohnräume oder Gelegenheit zum Abschluss solcher Verträge gem. § 34 c GewO sowie die Immobiliardarlehensvermittlung nach § 34 i GewO.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans-Jürgen Tomczak Immobilien e. K.,e. K.,DE,21217.0,Seevetal,Hinterm Teich 11,Lüneburg,HRA 202487,aktiv,"https://www.northdata.de/Hans-J%C3%BCrgen%20Tomczak%20Immobilien%20e%C2%B7%20K%C2%B7,%20Seevetal/Amtsgericht%20L%C3%BCneburg%20HRA%20202487",+49 40768991410,+49 40768991441,tomczak@tomczak-bautraeger.de,https://www.tomczak-bautraeger.de,,Eintragung,02.05.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Tomczak, Hans-Jürgen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP Grundstücksgesellschaft OHG,OHG,DE,39307.0,Genthin,Magdeburger Str. 5,Stendal,HRA 5017,aktiv,"https://www.northdata.de/UMP%20Grundst%C3%BCcksgesellschaft%20OHG,%20Genthin/Amtsgericht%20Stendal%20HRA%205017",+49 393391095,+49 393391096,philipperbs@gmx.de,,,Eintragung,02.05.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Erbs, Martina","Erbs, Philipp","Erbs, Ursula",Vermögensverwaltende Tätigkeit von Wohn- und Gewerbeimmobilien.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Büchler Immobilien e. K. Inh. Martin Büchler,e. K.,DE,21502.0,Geesthacht,Mühlenstr. 82,Lübeck,HRA 8395 HL,aktiv,"https://www.northdata.de/B%C3%BCchler%20Immobilien%20e%C2%B7%20K%C2%B7%20Inh%C2%B7%20Martin%20B%C3%BCchler,%20Geesthacht/Amtsgericht%20L%C3%BCbeck%20HRA%208395%20HL",+49 15233502439,+49 41524633,m.buechler@buechlerimmobilien.de,https://www.buechlerimmobilien.de,,Eintragung,02.05.2016,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Büchler, Martin",,,"Gegenstand des Geschäfts ist die - Vermittlung und Verwaltung von Immobilien aller Art, - Vermittlung von Immobilienfinanzierungen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
